Time,Open,High,Low,Close
2017-11-02 13:00:00,1.2845,1.2852,1.283,1.2836
2017-11-02 12:00:00,1.2861,1.2862,1.2842,1.2842
2017-11-02 11:00:00,1.285,1.2855,1.2845,1.2854
2017-11-02 10:00:00,1.2839,1.2849,1.2839,1.2849
2017-11-02 09:00:00,1.2852,1.2852,1.2839,1.2841
2017-11-02 08:00:00,1.2837,1.2853,1.2836,1.2852
2017-11-02 07:00:00,1.2828,1.2843,1.2826,1.2842
2017-11-02 06:00:00,1.2837,1.2841,1.2833,1.2834
2017-11-02 05:00:00,1.2835,1.2839,1.2835,1.2837
2017-11-02 04:00:00,1.2836,1.2839,1.2833,1.2833
2017-11-02 03:00:00,1.2837,1.2838,1.2833,1.2837
2017-11-02 02:00:00,1.284,1.2841,1.2836,1.2836
2017-11-02 01:00:00,1.2857,1.2863,1.2835,1.2841
2017-11-02 00:00:00,1.2875,1.2875,1.2855,1.2857
2017-11-01 23:00:00,1.2872,1.2876,1.2871,1.2876
2017-11-01 22:00:00,1.2864,1.2873,1.2864,1.2872
2017-11-01 21:00:00,1.2867,1.287,1.2862,1.2862
2017-11-01 20:00:00,1.2867,1.2869,1.2861,1.2869
2017-11-01 19:00:00,1.2879,1.2882,1.287,1.2871
2017-11-01 18:00:00,1.2886,1.2893,1.2872,1.2878
2017-11-01 17:00:00,1.2879,1.2883,1.2874,1.2883
2017-11-01 16:00:00,1.2892,1.2894,1.2877,1.2878
2017-11-01 15:00:00,1.2888,1.2897,1.2887,1.2897
2017-11-01 14:00:00,1.29,1.29,1.2881,1.2887
2017-11-01 13:00:00,1.2904,1.2911,1.2898,1.29
2017-11-01 12:00:00,1.2888,1.2907,1.2887,1.2903
2017-11-01 11:00:00,1.2875,1.2888,1.2875,1.2885
2017-11-01 10:00:00,1.2883,1.2885,1.2874,1.2876
2017-11-01 09:00:00,1.2885,1.2887,1.2878,1.2879
2017-11-01 08:00:00,1.2895,1.2897,1.2877,1.2884
2017-11-01 07:00:00,1.2903,1.2909,1.2893,1.2895
2017-11-01 06:00:00,1.2906,1.2909,1.2897,1.2903
2017-11-01 05:00:00,1.2903,1.2908,1.2901,1.2907
2017-11-01 04:00:00,1.29,1.2904,1.29,1.2902
2017-11-01 03:00:00,1.2904,1.2906,1.2897,1.2899
2017-11-01 02:00:00,1.2903,1.2907,1.2901,1.2902
2017-11-01 01:00:00,1.29,1.2908,1.2898,1.2904
2017-11-01 00:00:00,1.2894,1.2904,1.2893,1.29
2017-10-31 23:00:00,1.29,1.29,1.2892,1.2894
2017-10-31 22:00:00,1.2893,1.2896,1.2888,1.2896
2017-10-31 21:00:00,1.2892,1.2895,1.2888,1.2892
2017-10-31 20:00:00,1.2902,1.2902,1.289,1.2891
2017-10-31 19:00:00,1.2898,1.2903,1.2888,1.2902
2017-10-31 18:00:00,1.2899,1.2903,1.2897,1.2897
2017-10-31 17:00:00,1.29,1.2912,1.2897,1.2905
2017-10-31 16:00:00,1.2897,1.2901,1.2892,1.2899
2017-10-31 15:00:00,1.2886,1.2899,1.2877,1.2882
2017-10-31 14:00:00,1.2893,1.2903,1.2887,1.2889
2017-10-31 13:00:00,1.2898,1.2899,1.289,1.2896
2017-10-31 12:00:00,1.2848,1.2916,1.2844,1.2902
2017-10-31 11:00:00,1.2853,1.2854,1.2847,1.2848
2017-10-31 10:00:00,1.2845,1.2851,1.2842,1.2851
2017-10-31 09:00:00,1.2844,1.2847,1.2841,1.2844
2017-10-31 08:00:00,1.2833,1.2845,1.2833,1.2844
2017-10-31 07:00:00,1.2826,1.2836,1.2826,1.2834
2017-10-31 06:00:00,1.2832,1.2836,1.2827,1.2828
2017-10-31 05:00:00,1.2844,1.2845,1.2833,1.2836
2017-10-31 04:00:00,1.2841,1.2845,1.284,1.2845
2017-10-31 03:00:00,1.2839,1.2843,1.2839,1.2841
2017-10-31 02:00:00,1.2841,1.2842,1.2839,1.284
2017-10-31 01:00:00,1.2837,1.2842,1.2836,1.2841
2017-10-31 00:00:00,1.2828,1.2835,1.2828,1.2834
2017-10-30 23:00:00,1.2835,1.2835,1.2828,1.2828
2017-10-30 22:00:00,1.2831,1.2835,1.2829,1.2834
2017-10-30 21:00:00,1.2834,1.2836,1.2828,1.283
2017-10-30 20:00:00,1.2822,1.2833,1.282,1.2832
2017-10-30 19:00:00,1.2836,1.2836,1.2826,1.2826
2017-10-30 18:00:00,1.2838,1.2839,1.2833,1.2837
2017-10-30 17:00:00,1.2827,1.2837,1.2825,1.2835
2017-10-30 16:00:00,1.2835,1.2839,1.2823,1.2829
